Sample_ID	Subject_ID	Additional_sample_data	Age	Genotype	Gender	Diet	Sample	Condition	0_75_0_77	0_77_0_80	0_80_0_82	0_82_0_84	0_84_0_86	0_86_0_92	0_92_0_97	0_97_1_02	1_02_1_06	1_06_1_10	1_10_1_12	1_12_1_15	1_15_1_18	1_18_1_23	1_23_1_26	1_26_1_28	1_28_1_30	1_30_1_36	1_36_1_42	1_42_1_45	1_45_1_50	1_50_1_53	1_53_1_58	1_58_1_60	1_60_1_63	1_63_1_65	1_65_1_71	1_71_1_75	1_75_1_79	1_79_1_84	1_84_1_86	1_86_1_88	1_88_1_94	1_94_1_98	1_98_2_03	2_03_2_08	2_08_2_11	2_11_2_17	2_17_2_20	2_20_2_26	2_26_2_32	2_32_2_37	2_37_2_40	2_40_2_42	2_42_2_48	2_48_2_52	2_52_2_58	2_58_2_61	2_61_2_63	2_63_2_66	2_66_2_71	2_71_2_77	2_77_2_83	2_83_2_86	2_86_2_89	2_89_2_91	2_91_2_94	2_94_2_97	2_97_3_02	3_02_3_08	3_08_3_12	3_12_3_17	3_17_3_20	3_20_3_24	3_24_3_30	3_30_3_36	3_36_3_39	3_39_3_45	3_45_3_48	3_48_3_50	3_50_3_53	3_53_3_57	3_57_3_62	3_62_3_64	3_64_3_70	3_70_3_73	3_73_3_79	3_79_3_81	3_81_3_85	3_85_3_87	3_87_3_90	3_90_3_96	3_96_4_00	4_00_4_03	4_03_4_08	4_08_4_14	4_14_4_17	4_17_4_19	4_19_4_24	4_24_4_26	4_26_4_30	4_30_4_34	4_34_4_40	4_40_4_46	4_46_4_49	4_49_4_54	4_54_4_58	4_58_4_64	4_64_4_70	4_70_4_76	4_76_4_78	4_80_4_85	4_85_4_90	4_90_4_95	4_95_4_99	4_99_5_04	5_04_5_07	5_07_5_10	5_10_5_15	5_15_5_18	5_18_5_22	5_22_5_25	5_25_5_27	5_27_5_31	5_31_5_36	5_36_5_41	5_41_5_44	5_44_5_48	5_48_5_52	5_52_5_56	5_56_5_58	5_58_5_64	5_64_5_69	5_69_5_72	5_72_5_77	5_77_5_83	5_83_5_88	5_88_5_92	5_92_5_95	5_95_6_00	6_00_6_05	6_05_6_11	6_11_6_16	6_16_6_21	6_21_6_26	6_26_6_29	6_29_6_35	6_35_6_41	6_41_6_45	6_45_6_47	6_47_6_52	6_52_6_55	6_55_6_59	6_59_6_64	6_64_6_69	6_69_6_74	6_74_6_77	6_77_6_79	6_79_6_84	6_84_6_87	6_87_6_93	6_93_6_97	6_97_7_00	7_00_7_02	7_02_7_05	7_05_7_08	7_08_7_10	7_10_7_15	7_15_7_19	7_19_7_21	7_21_7_27	7_27_7_30	7_30_7_33	7_33_7_34	7_39_7_44	7_44_7_48	7_48_7_52	7_52_7_56	7_56_7_62	7_62_7_67	7_67_7_71	7_71_7_75	7_75_7_78	7_78_7_81	7_81_7_83	7_83_7_89	7_89_7_91	7_91_7_97	7_97_8_02	8_02_8_06	8_06_8_10	8_10_8_15	8_15_8_18	8_18_8_22	8_22_8_27	8_27_8_32	8_32_8_33	8_35_8_37	8_37_8_39	8_39_8_45	8_45_8_51	8_51_8_55	8_55_8_58	8_58_8_63	8_63_8_69	8_69_8_73	8_73_8_77	8_77_8_81	8_81_8_85	8_85_8_91	8_91_8_95	8_95_9_01	9_01_9_05	9_05_9_10	9_10_9_12	9_12_9_17	9_17_9_20	NMR_BINNED_DATA_END	END
BP_1	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.28009	0.26538	0.42086	0.66853	1.3232	4.8583	4.7443	1.2842	1.0885	0.48266	0.19303	0.27584	0.51101	1.9138	0.96297	0.50079	0.55633	42.51	4.3779	1.2596	4.4106	0.67276	1.2584	0.51792	0.83158	0.78866	3.1193	2.0814	1.254	3.9223	0.79458	1.7317	450.18	3.8968	20.982	16.346	6.3248	21.98	2.3808	3.2367	11.14	23.017	2.5757	1.6195	12.203	6.6098	3.7577	0.57211	0.37013	2.9743	10.089	1.1739	5.8755	0.33004	0.25466	0.39742	1.0335	1.0701	9.8249	31.694	1.2598	1.4742	3.9068	18.575	28.223	2.155	0.024508	19.557	0.71777	0.30372	6.7629	12.543	13.525	4.1992	5.8706	2.0079	17.432	2.1184	4.9096	2.5336	3.3926	29.048	6.2385	4.7827	8.5168	10.344	2.5284	1.0571	3.3237	1.3161	3.3098	3.5872	5.8877	2.6675	0.74827	2.1763	0.66142	0.43572	0	0	0	0.31614	0.016774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069475	0	0	0	0	0	0.12258	0.055962	0.26759	0	1.5309	1.0715	0	0	0	0	0	0	0	0.044286	0	0	0	0	0	0.023657	0	0.093091	0	0.03208	0.029352	0	0	0.16547	0.078422	0.025966	0.58345	0.21765	0.10359	0.57958	0.16823	0.17455	0.050299	0.66487	0.088382	0.046142	0.1372	0.22382	0.14868	0.16733	0.12207	0	0	0.058053	0.41986	0.020213	0.26272	0.22108	0	0.10122	0.039868	0.06195	0.51752	1.824	0.21397	0	0.19372	0	4.0507	0.51495	0.60508	0.37105	0.83706	0.37577	0.21469	0.1803	0.073883	0.31537	0.19943	0.13201	0.16211	0.21339	0.17384	0.0075388	0.1974	0.13387		
BP_2	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.29777	0.14937	0.29356	0.61911	1.3336	4.6784	4.5655	1.1193	0.96755	0.16887	0.036867	0.16185	0.30552	1.6097	0.64502	0.32114	0.55096	42.676	3.9973	1.1059	4.1373	0.54183	0.83008	0.41746	0.69268	0.65016	2.721	1.4171	0.81348	3.1546	0.30392	1.2128	453.4	4.1406	21.548	16.529	6.1909	22.784	2.4697	3.6183	11.14	23.242	2.585	1.5004	12.392	6.8526	3.7697	0.52877	0.23163	2.7688	10.231	1.024	5.8861	0.16386	0.24339	0.33478	0.78831	0.9059	9.1519	32.563	1.2017	1.1235	3.5056	18.599	28.601	2.1317	0	19.677	0.58014	0.11483	6.6209	12.639	13.548	4.2932	5.9299	1.7325	18.221	2.0026	4.8975	2.5561	3.4326	29.641	6.5146	4.8948	8.7086	10.034	2.6632	1.1958	3.6011	1.327	3.3247	3.8628	6.3029	3.006	0.92683	2.6224	0.76036	0.56535	0.088091	0.099114	0.056979	0.1254	0	0	0	0	0	0	0	0.0014837	0	0	0	0	0.1318	0	0	0	0	0	0	0.13892	0	0	0	0	0	0.11399	0.08929	0.3026	0.0002517	1.3111	1.0145	0	0	0	0.026133	0	0	0	0	0.005643	0	0	0	0	0	0	0.094002	0	0.16383	0	0	0	0	0	0.12003	0.33118	0.027282	0.041604	0.55534	0.13678	0.20095	0.033771	0.98708	0.25592	0.1398	0.055167	0.35911	0.19738	0.15721	0.033565	0	0	0.093217	0.39844	0.058588	0.44972	0.12707	0	0.046673	0	0.00083668	0.4367	1.4939	0	0	0.29885	0	3.6311	0.6008	0.6402	0.28465	0.82574	0.2614	0.34943	0.15573	0.1651	0.30216	0.16122	0.22247	0.13608	0.090493	0.020838	0.10198	0.33849	0.073106		
BP_3	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.20639	0.17597	0.35078	0.67341	1.2488	4.6208	4.4534	1.0612	1.0321	0.3813	0.16364	0.13584	0.26978	1.7301	0.80957	0.33608	0.49778	42.785	4.1702	1.2688	4.1536	0.46379	0.79932	0.44164	0.73996	0.68058	2.9471	1.767	0.82506	3.3136	0.41222	1.2226	456.19	4.286	21.258	16.57	6.2655	22.366	2.6501	3.5557	11.216	23.117	2.5984	1.7365	12.319	6.8285	3.8361	0.51124	0.37014	2.9305	10.21	1.2484	5.9942	0.32398	0.25447	0.39082	0.99549	1.0966	9.7073	31.767	1.1456	1.552	3.9396	18.541	28.406	2.2392	0.023326	19.805	0.78304	0.22605	6.7653	12.452	13.722	4.0529	5.7648	1.8977	17.891	2.0974	4.9895	2.4803	3.5395	29.078	6.1401	4.8821	8.4749	10.058	2.5	0.99774	3.4209	1.17	3.2705	3.5553	5.919	2.5714	0.71836	2.2206	0.5648	0.27555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099986	0	0	0	0	0	0.12729	0.024513	0.32898	0	1.3103	0.94854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093495	0.032704	0.12025	0	0	0	0	0.074152	0.085342	0.58688	0.17976	0.14837	0.46815	0.23848	0.32491	0.077822	0.63064	0.10284	0.12984	0.16633	0.22305	0	0	0	0	0	0	0.13154	0.035784	0.27966	0.17269	0.090096	0	0.061322	0.013155	0.33196	1.5635	0.0067059	0	0.18851	0.0010728	3.7979	0.47239	0.49342	0.24018	0.71237	0.20429	0.24522	0.21304	0.11653	0.2297	0.16358	0.12796	0.13726	0.24234	0	0.055783	0.16203	0.12424		
BP_4	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.26652	0.2751	0.31326	0.57376	1.3107	4.7009	4.3653	1.0534	0.77703	0.15593	0.077928	0.11739	0.42481	1.8758	0.90476	0.5302	0.6362	42.818	4.2676	1.1738	3.9273	0.54019	0.78388	0.36549	0.79065	0.60503	2.7347	1.5162	0.8922	3.2671	0.41144	1.2429	459.93	4.0086	21.35	16.458	6.1272	22.475	2.3662	3.1863	11.067	23.03	2.5136	1.5945	12.248	6.5328	3.453	0.54511	0.219	2.7504	9.9467	1.1106	5.7749	0.22686	0.24752	0.29144	0.6623	0.84597	9.2085	31.979	1.0553	1.0924	3.5402	18.207	28.5	2.1675	0	19.681	0.73898	0.15228	6.5447	12.423	13.212	4.1117	5.8967	1.6879	17.665	1.9795	4.6632	2.6744	3.3994	29.225	6.4687	4.8679	8.6317	9.8595	2.7738	1.0707	3.5237	1.261	3.2794	3.5879	6.1326	3.0748	0.99782	2.3776	0.81623	0.72818	0.1406	0.093491	0.012626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22392	0.092902	0.1849	0	1.4157	1.0579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087502	0	0.024271	0	0	0	0.007776	0.1138	0	0.45743	0.12603	0.088607	0.55164	0.175	0.2728	0.025827	0.96151	0.11942	0.14385	0.25896	0.37062	0	0.10375	0.047324	0.0021476	0	0.087004	0.25209	0	0.28904	0.098072	0.053819	0.014386	0.097438	0.06166	0.32252	1.4462	0.0099404	0	0.23954	0	3.4115	0.46313	0.49044	0.32423	0.92732	0.23614	0.33332	0.15584	0.15077	0.25227	0.35876	0.1779	0.18749	0.10513	0.01858	0.086475	0.20693	0.068847		
BP_5	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.42144	0.39631	0.47041	0.85969	1.5955	5.8761	5.4498	1.4731	1.2065	0.48121	0.26109	0.28314	0.77259	2.1615	1.055	0.57232	0.56593	43.25	4.9636	1.385	4.5768	0.80284	1.3141	0.59863	1.029	0.89839	3.2815	2.0438	1.0432	3.3798	0.34605	1.1947	433.74	5.3228	21.37	17.443	7.0281	23.133	2.7276	4.2659	12.035	23.624	2.5984	1.6955	12.897	6.5851	4.2751	0.65441	0.4263	3.2021	10.095	1.3028	6.517	0.44478	0.42887	0.59797	1.2559	1.3195	10.174	32.495	1.5129	1.6484	3.8449	18.714	28.682	2.1898	0	19.9	0.83058	0.26891	6.6336	12.524	13.518	4.0395	6.1854	2.2275	17.19	2.0746	4.8426	2.0237	3.2615	29.832	6.4574	5.259	8.8004	9.2481	2.6373	1.0403	3.6792	1.3328	3.4822	3.8846	5.998	2.8336	0.71934	2.2462	0.81302	0.62881	0.060233	0	0	0.080315	0	0	0	0	0	0	0	0	0	0	0	0.018405	0	0.0092455	0	0	0	0	0	0.020849	0	0	0	0	0	0.11537	0.10646	0.20413	0	1.3219	0.89582	0	0	0	0	0	0	0	0	0	0	0	0	0.013409	0	0.047199	0.16312	0.078366	0.23686	0	0	0.055335	0.054487	0.0328	0.13663	0.62254	0.23001	0.12422	0.6632	0.33482	0.30438	0.063854	0.43206	0.24952	0.14712	0.11499	0.52632	0.13973	0.00099219	0.017159	0	0	0	0.36722	0	0.4209	0.31929	0.014764	0.012523	0.12441	0.050529	0.52955	1.3267	0	0.011523	0.20621	0.058166	2.1583	0.17955	0.5099	0.42286	0.78841	0.44719	0.1853	0.13862	0.05771	0.1341	0.089405	0.17975	0.05957	0.21397	0.095666	0.064013	0.36654	0.1737		
BP_6	-	{'Sample': 'Pool'}	Pool	Pool	Pool	Pool	Pool	Pool	0.2597	0.24762	0.49772	0.62893	1.2365	4.5944	4.4231	1.1094	0.99917	0.23292	0.075871	0.12265	0.41217	1.6904	0.81339	0.47786	0.39527	42.345	4.0165	1.2419	4.1475	0.69056	0.96136	0.45959	0.76499	0.66047	2.7565	1.7803	0.9435	3.4481	0.46704	1.2278	457.94	4.1746	20.906	16.374	6.2974	21.616	2.4181	3.2496	10.952	22.707	2.7394	1.5391	12.076	6.777	3.8451	0.5389	0.27205	3.1205	9.9468	1.1639	5.8935	0.37993	0.30127	0.45449	0.979	1.0107	9.5648	31.543	1.2274	1.4935	3.954	17.99	28.145	2.2498	0.10633	19.848	0.76205	0.17884	6.6963	12.158	13.218	4.0481	5.8474	1.8939	16.601	2.0779	4.7302	2.4335	3.3687	28.705	6.0791	4.3177	8.2671	10.999	2.6137	0.99324	3.354	1.183	3.3443	3.4922	6.0434	2.6225	0.71923	2.1055	0.45854	0.35591	0	0	0	0.022173	0	0	0.04531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061815	0	0	0.27616	0.092178	0	0	0	0	0.23629	0.12914	0.20203	0	1.3045	1.1879	0.050674	0	0.032852	0	0	0	0	0.11155	0	0.054012	0	0	0	0	0.028751	0.074616	0	0.25671	0.11459	0.064071	0.10177	0.083156	0.11005	0.057892	0.62363	0.23558	0.19338	0.47214	0.23491	0.33047	0.078857	0.71047	0.26666	0.23672	0.20843	0.23986	0.10991	0.093662	0.26668	0.024171	0	0.063465	0.23216	0.055246	0.33215	0.26767	0.071449	0.11852	0.27627	0.075263	0.50907	1.6716	0.12903	0.04996	0.16531	0	4.6222	0.39461	0.55816	0.24805	0.7805	0.31457	0.26184	0.25831	0.16762	0.25978	0.13364	0.23445	0.31559	0.078343	0.14391	0.11782	0.30971	0.17454		
B_1	-	{'Sample': 'Sample'}	5	APP	F	AL	Sample	5	0.25952	0.18011	0.40708	0.64747	1.2101	4.424	4.47	1.1085	0.90123	0.14129	0.12556	0.10049	0.45339	1.6104	0.62401	0.26211	0.45493	44.809	4.1149	1.3137	3.9656	0.43571	0.9125	0.37227	0.77031	0.65362	2.626	1.4652	0.69526	3.2062	0.31062	0.90172	473.38	4.8797	23.082	16.245	6.2314	19.905	2.3912	3.2771	10.577	22.119	2.4944	1.4478	10.375	7.01	3.5283	0.394	0.22998	2.4964	10.169	0.99694	5.2393	0.15731	0.21399	0.11285	0.69432	0.8347	8.5427	31.096	1.0836	1.1034	3.6067	18.348	27.196	2.1839	0	18.536	0.68791	0.17806	6.1284	11.594	12.68	4.0165	5.896	1.59	15.274	1.8955	4.4757	2.6014	2.9192	28.479	6.5905	4.8808	8.1273	9.1253	2.6953	1.0428	3.5864	1.354	3.1484	3.5717	6.5225	3.1216	0.88292	2.3866	0.66288	0.70455	0.27437	0	0	0.799	0.29462	0.066382	0	0	0.017938	0	0	0	0	0	0	0	0	0	0	0	0.026714	0	0	0.13003	0	0.043864	0.00034543	0	0	0.24628	0.090584	0.2305	0.017297	1.3411	0.98766	0	0.031114	0	0	0	0	0	0	0	0	0	0	0	0	0.06631	0	0	0	0.050673	0	0	0	0	0.069026	0.26869	0.13942	0.10318	0.56444	0.17998	0.21497	0.0078472	1.0307	0.19758	0.069878	0.11858	0.52274	0.17095	0.091923	0.099876	0.14539	0	0	0.24922	0.10227	0.35572	0.3934	0	0.14668	0	0	0.33582	1.3522	0.040798	0	0.21798	0	2.4774	0.49984	0.44285	0.26706	0.86194	0.34036	0.27243	0.27952	0.086328	0.33577	0.097207	0.13538	0.28634	0.21336	0.098435	0.031353	0.42014	0.02345		
B_10	-	{'Sample': 'Sample'}	5	APP	F	CR	Sample	5	0.52778	0.4124	0.5635	0.86467	1.4146	5.1865	4.9662	1.461	1.5301	0.69807	0.37807	0.36869	0.89752	2.4048	1.1619	0.67521	1.0169	36.511	4.6045	1.4298	4.3567	0.83195	1.6062	0.83333	1.2088	0.97416	3.8277	2.4961	1.9384	5.1545	1.6317	3.1856	455.66	1.4874	20.157	15.574	6.713	20.784	1.987	2.7431	11.469	24.171	2.5545	1.4457	11.607	6.3499	3.667	0.39148	0.1866	2.9725	9.9577	1.1382	5.6981	0.25564	0.30151	0.32814	1.0379	1.133	10.239	30.137	1.0426	1.2012	2.9697	18.102	27.848	2.0329	0	19.978	0.68195	0.19389	6.0025	10.956	12.276	3.5982	5.6153	1.9164	15.104	1.9365	4.704	2.4832	2.8119	27.556	6.5179	4.7657	7.5936	8.7963	2.2735	1.0247	3.4261	1.2158	3.2001	3.7108	6.4085	2.8663	1.0074	2.5215	0.92836	0.84884	0.12015	0.060173	0.11599	0.11128	0.059793	0	0	0	0.042547	0	0	0	0	0	0	0	0.037772	0.029222	0	0.032024	0.09772	0.083788	0.041299	0.20939	0	0	0	0	0	0.25099	0.22764	0.31508	0.17518	1.6008	1.2898	0.1016	0	0.060336	0	0.14686	0.073873	0.023836	0.19296	0	0.043586	0	0	0.085934	0.081955	0	0.19961	0.08515	0.30228	0.13681	0.06527	0	0.015218	0.15483	0.17355	0.68833	0.19866	0.16609	0.57578	0.3164	0.28089	0.060939	1.1015	0.25153	0.31093	0.14993	0.72737	0.28606	0.23131	0.22644	0	0.20546	0.091816	0.33323	0.006721	0.50195	0.39184	0.014984	0.14138	0.33993	0.13906	0.52083	1.7267	0.29115	0	0.34282	0.057943	3.6786	0.76293	0.66102	0.29797	1.1994	0.38331	0.44498	0.30681	0.23126	0.38105	0.44298	0.20514	0.5249	0.43724	0.18223	0.1013	0.63794	0.21668		
B_11	-	{'Sample': 'Sample'}	15	APP	F	AL	Sample	15	0.44415	0.45659	0.59568	0.79603	1.4954	4.8888	4.6642	1.2537	1.2625	0.40965	0.26465	0.28743	0.70528	2.2455	1.3202	0.65611	0.85795	47.286	4.2479	1.3232	4.0126	0.8416	1.4444	0.57854	1.1353	0.96153	3.5102	2.5772	1.4898	4.5245	1.2256	2.3269	468.24	2.7627	15.641	15.067	4.6293	19.484	2.29	3.3145	10.163	20.218	2.0304	1.3028	9.9898	5.2812	3.4601	0.46505	0.22654	2.9254	10.253	1.2949	7.7981	0.29626	0.26732	0.43819	0.80755	0.99657	9.0488	30.44	1.1714	1.4695	3.3778	19.176	25.195	2.0529	0	16.625	0.88913	0.33121	6.5115	12.785	13.347	3.8567	6.38	1.4258	17.822	1.922	4.5822	2.1018	5.8563	29.196	5.8353	3.9392	8.0261	11.941	2.4221	0.92299	3.2249	1.2616	3.1865	3.6535	4.8569	2.5269	0.56312	1.746	0.41456	0.26783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10774	0	0	0	0	0	0.14907	0.086631	0.13882	0	1.1466	0.86177	0	0	0	0	0	0	0	0.074129	0	0	0	0	0	0.086521	0.021374	0.13653	0.058729	0.01873	0	0.036564	0	0.091846	0.1128	0.099784	0.45189	0.05365	0.15233	0.62305	0.21354	0.369	0.046179	0.81688	0.26883	0.085717	0.012336	0.49358	0.17871	0	0.05072	0.058121	0.032813	0.012416	0.25939	0.06953	0.36075	0.30418	0.097438	0.091912	0.059915	0.13927	0.35826	1.5843	0.097851	0	0.22354	0.060357	4.3158	0.55967	0.44459	0.30545	0.98962	0.19115	0.29627	0.33571	0.14289	0.099196	0.11572	0.32769	0.22381	0.21578	0	0.073089	0.40636	0.022099		
B_12	-	{'Sample': 'Sample'}	15	APP	F	AL	Sample	15	0.38399	0.48111	0.51719	0.91957	1.669	6.3076	5.6593	1.4363	1.2169	0.29938	0.07329	0.25134	0.62796	2.1873	1.2034	0.80866	0.77313	43.889	4.8863	1.3851	4.6293	0.69991	1.4345	0.59665	1.0347	0.88694	3.6082	2.1121	1.1721	3.8439	0.68178	1.4824	465.45	4.2329	17.667	16.484	7.0383	21.741	2.5192	5.1409	11.286	23.086	2.2805	1.6792	12.113	5.6451	3.7742	0.57125	0.28851	3.2068	8.3674	0.98034	5.9083	0.3177	0.20664	0.37014	0.93728	1.039	9.6372	31.857	1.2832	1.5265	4.1674	18.084	27.503	2.3339	0	19.055	0.63964	0.13755	6.4784	11.377	12.835	4.1244	5.5849	2.0451	14.621	1.989	4.8757	2.4052	3.2328	28.819	6.4229	4.6851	8.393	9.4469	2.6024	1.0307	3.2216	1.2081	3.1601	3.4349	4.8251	2.678	0.76349	1.9937	0.64357	0.21854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0	0.13954	0	1.1383	0.52915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16276	0	0	0.024833	0	0.072031	0.036014	0.28499	0.086798	0.14515	0.64831	0.28512	0.42073	0.070924	0.3756	0.049058	0	0	0.51784	0	0	0	0	0.032335	0	0.10731	0	0	0.060623	0	0	0.017486	0	0.12997	1.2275	0	0	0.086279	0.0034886	2.4885	0.10443	0.20608	0.28029	0.6016	0.21912	0.21608	0.060324	0	0	0	0.076525	0.088409	0	0.002148	0	0	0.016416		
